en,pt-br
the,a/o/as/os
be,ser/estar
and,e
of,do/de
a,uma
in,dentro
to,para
have,tenho
it,isto
I,Eu
that,este
for,por/para
you,você(s)
he,ele
with,com
on,sobre
do,faz
say,dizer
they,elas
this,isto
but,mas
at,no
we,nós
his,seu
from,a partir de
not,não
by,por
or,ou
she,ela
as,como/tão
what,o que
go,vai
their,seus/suas
will,vai
who,quem
can,posso
get,pegue
if,E se
all,tudo
would,gostaria
her,sua
make,faço
about,cerca de
my,minha
know,conhecer
there,lá
one,um
up,acima
time,tempo
year,ano
so,assim
think,acho
see,Vejo
which,que
when,quando
some,algum
them,eles
people,pessoas
take,leva
me,Eu
out,Fora
into,em
just,apenas
him,dele
come,venha
your,sua
now,agora
could,poderia
than,do que
like,Curti
other,outro
then,então
how,Como as
its,Está
two,dois
our,nosso
more,mais
these,esses
want,querer
way,caminho
no,não
look,olhar
first,primeiro
also,também
new,novo
because,Porque
day,dia
use,usar
man,cara
here,aqui
find,achar
give,dar
thing,coisa
well,Nós vamos
many,muitos
only,só
those,Essa
tell,dizer
very,muito
even,até
back,de volta
any,algum
good,Boa
us,nós
through,Através dos
woman,mulher
life,vida
child,filho
down,baixa
work,trabalhar
after,depois
call,ligar
may,poderia
world,mundo
over,sobre
should,deve
still,ainda
try,tentar
school,escola
last,último
ask,perguntar
too,também
need,precisar
three,três
feel,sentir
become,vir a ser
state,Estado
never,Nunca
between,entre
high,Alto
something,algo
really,verdade
most,a maioria
another,outro
much,Muito de
own,ter
family,família
house,lar
leave,sair
put,colocar
old,velho
while,enquanto
mean,significa
let,deixar
why,Por quê
president,Presidente
keep,guarda
same,mesmo
great,excelente
begin,começar
big,grande
seem,parecer
group,grupo
country,país
talk,conversa
problem,problema
where,Onde
turn,virar
student,aluna
every,todo
hand,mão
help,ajuda
against,contra
start,começar
American,americano
part,papel
show,mostrar
might,poderia
such,tal
place,"Lugar, colocar"
again,novamente
city,cidade
case,caso
few,alguns
system,sistema
week,semana
company,companhia
each,cada
percent,por cento
hear,ouvir
during,durante
question,pergunta
right,certo
program,programa
run,corre
number,número
small,pequena
government,governo
play,Toque
off,desligado
move,jogada
always,sempre
night,noite
believe,acreditam
today,hoje
hold,aguarde
point,ponto
live,viver
happen,acontecer
bring,trazer
next,próximo
without,sem
before,antes da
large,ampla
must,devo
war,guerra
home,casa
under,debaixo
room,quarto
fact,facto
area,área
national,nacional
write,Escreva
money,dinheiro
story,história
water,agua
mother,mãe
different,diferente
young,jovem
month,mês
lot,muito
book,livro
eye,olho
study,estudar
job,trabalho
kind,Gentil
word,palavra
issue,questão
side,lado
four,quatro
business,o negócio
though,no entanto
head,cabeça
far,distante
long,grandes
black,Preto
million,milhão
both,Ambas
little,pequena
yes,sim
since,desde
around,por aí
provide,providenciar
service,serviço
important,importante
sit,sentar
away,um jeito
friend,amigo
however,Contudo
power,potência
yet,ainda
father,pai
hour,hora
often,muitas vezes
until,até
political,político
line,linha
end,fim
stand,ficar
among,dentre
game,jogos
ever,sempre
lose,perder
bad,mau
member,membro
meet,encontrar
pay,pagar
law,lei
almost,quase
car,carro
later,mais tarde
name,nome
include,incluir
five,cinco
center,Centro
once,uma vez
university,universidade
continue,Prosseguir
least,ao menos
real,real
white,branco
change,mudança
set,definir
several,de várias
ago,atrás
information,em formação
nothing,nada
community,comunidade
best,melhor
idea,idéia
lead,conduzir
body,corpo
learn,aprender
kid,miúdo
minute,minuto
table,tabela
whether,se
understand,Compreendo
team,equipe
watch,ver
together,juntos
follow,Segue
stop,Pare
face,enfrentar
anything,nada
public,público
social,social
already,já
parent,pai
speak,falar
create,crio
office,escritório
allow,permitir
level,nível
read,ler
spend,gasta
person,pessoa
door,porta
sure,claro
add,adicionar
street,rua
history,história
party,Festa
grow,crescer
reason,razão
morning,manhã
open,abrir
within,dentro de
although,Apesar
walk,andar
news,notícia
health,saúde
court,quadra
force,força
early,cedo
himself,ele mesmo
air,ar
low,baixo
art,arte
result,resultado
moment,momento
offer,oferta
remember,lembrar
research,pesquisar
enough,o suficiente
girl,menina
boy,Garoto
win,ganhar
food,Comida
across,através
guy,cara
second,segundo
able,capaz
toward,na direção
maybe,pode ser
process,processo
everything,tudo
appear,aparecer
age,era
policy,política
consider,considerar
including,Incluindo
probably,provavelmente
education,Educação
love,amor
actually,na realidade
buy,Comprar
wait,esperar
die,morrer
human,humano
send,mandar
fee,taxa
expect,Espero
serve,servir
sense,senso
teacher,professora
market,mercado
stay,fique
